id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob,interaction
194956,GEO-1992-1-297-195,1992,True,Clear,1,393,393,Georgia: South Ossetia,840,840,Government of Georgia - Republic of South Ossetia,63,63,Government of Georgia,343,343,Republic of South Ossetia,-1,Reuters 1992-06-28 CEASEFIRES SMASHED IN CIS TROUBLE SPOTS.,-,-,-,Russian Interfax,1,Tskhinvali town,Tskhinvali,South Ossetia,-,42.227636,43.968608,POINT (43.968608 42.227636),190528,Georgia,372,Europe,1,1,06/28/1992 00:00:00,06/28/1992 00:00:00,0,21,0,0,21,21,21,372.0,-,41
194957,GEO-1992-1-297-197,1992,True,Clear,1,393,393,Georgia: South Ossetia,840,840,Government of Georgia - Republic of South Ossetia,63,63,Government of Georgia,343,343,Republic of South Ossetia,-1,Reuters 1992-07-04 TROOPS TO KEEP THE PEACE IN GEORGIAN WarZONE.,-,-,-,South Ossetian officials,1,Tskhinvali town,Tskhinvali,South Ossetia,-,42.227636,43.968608,POINT (43.968608 42.227636),190528,Georgia,372,Europe,1,1,07/03/1992 00:00:00,07/03/1992 00:00:00,0,0,0,4,4,4,4,372.0,-,41
194973,GEO-1992-1-297-194,1992,True,Clear,1,393,393,Georgia: South Ossetia,840,840,Government of Georgia - Republic of South Ossetia,63,63,Government of Georgia,343,343,Republic of South Ossetia,-1,BBC 1992-06-26 Russian-Georgian agreement on South Osetia.,-,-,-,Russian radio,1,Tskhinvali town,Tskhinvali,South Ossetia,-,42.227636,43.968608,POINT (43.968608 42.227636),190528,Georgia,372,Europe,1,1,06/25/1992 00:00:00,06/25/1992 00:00:00,0,0,0,2,2,2,2,372.0,-,41
194974,GEO-1992-1-297-196,1992,True,Clear,1,393,393,Georgia: South Ossetia,840,840,Government of Georgia - Republic of South Ossetia,63,63,Government of Georgia,343,343,Republic of South Ossetia,-1,BBC 1992-07-01 MORE DIE IN CONFLICT OVER SOUTH OSSETIA.,-,-,-,itar-tass news agency,1,Tskhinvali town,Tskhinvali,South Ossetia,-,42.227636,43.968608,POINT (43.968608 42.227636),190528,Georgia,372,Europe,1,1,07/01/1992 00:00:00,07/01/1992 00:00:00,0,0,0,3,3,3,3,372.0,-,41
194976,GEO-1992-1-259-244,1992,True,Clear,1,392,392,Georgia: Abkhazia,839,839,Government of Georgia - Republic of Abkhazia,63,63,Government of Georgia,342,342,Republic of Abkhazia,-1,Reuters 1992-10-13 Russian navy rebuffs Georgian protest overwarships.,-,-,-,Itar-tass news agency,2,Shroma village,near village of Shroma,Guria region,Ozurgeti district,41.979768,41.842424,POINT (41.842424 41.979768),189804,Georgia,372,Europe,1,1,10/13/1992 00:00:00,10/13/1992 00:00:00,0,0,0,2,2,2,2,372.0,-,41
194977,GEO-1992-1-259-245,1992,True,Clear,1,392,392,Georgia: Abkhazia,839,839,Government of Georgia - Republic of Abkhazia,63,63,Government of Georgia,342,342,Republic of Abkhazia,-1,Reuters 1992-10-14 Georgia creates emergency defence council.,-,-,-,Georgian authorities in Abkhazia,1,Sukhumi town,Sukhumi,Abkhazia region,Sukhumi district,43.001962,41.013907,POINT (41.013907 43.001962),191963,Georgia,372,Europe,1,1,10/13/1992 00:00:00,10/13/1992 00:00:00,2,0,0,0,2,2,2,372.0,-,41
194980,GEO-1992-1-259-251,1992,True,Clear,1,392,392,Georgia: Abkhazia,839,839,Government of Georgia - Republic of Abkhazia,63,63,Government of Georgia,342,342,Republic of Abkhazia,-1,BBC 1992-11-20 Continued fighting in Abkhazia.,-,-,-,press center Georgia's military command,1,Tamysh village,Tamysh,Abkhazia region,Ochamchira district,42.7794,41.3756,POINT (41.3756 42.7794),191243,Georgia,372,Europe,1,1,11/18/1992 00:00:00,11/18/1992 00:00:00,3,0,0,0,3,3,3,372.0,-,41
194981,GEO-1992-1-259-252,1992,True,Clear,1,392,392,Georgia: Abkhazia,839,839,Government of Georgia - Republic of Abkhazia,63,63,Government of Georgia,342,342,Republic of Abkhazia,-1,Reuters 1992-11-09 Russian officers killed in Georgia.,-,-,-,Russian army statement,3,Sukhumi district,"Nizhnyaya Eshera,, Abkhazia",Abkhazia region,Sukhumi district,43.25,41.0,POINT (41 43.25),191963,Georgia,372,Europe,1,1,11/19/1992 00:00:00,11/19/1992 00:00:00,0,0,0,0,0,1,0,372.0,-,41
194983,GEO-1991-1-239-152,1991,True,Clear,1,380,380,Georgia: Government,812,812,Government of Georgia - National Guard and Mkhedrioni,63,63,Government of Georgia,332,332,National Guard and Mkhedrioni,-1,"Reuters 911222 17 DEAD AS GEORGIAN REBELS SHELL PARLIAMENT, RUSSIAN TV SAYS.",-,-,-,Russian TV,1,Tbilisi town,Tbilisi,Tbilisi region,-,41.716667,44.783333,POINT (44.783333 41.716667),189810,Georgia,372,Europe,1,1,12/22/1991 00:00:00,12/22/1991 00:00:00,0,0,0,17,17,17,17,372.0,-,41
194986,GEO-1991-1-239-153,1991,True,Clear,1,380,380,Georgia: Government,812,812,Government of Georgia - National Guard and Mkhedrioni,63,63,Government of Georgia,332,332,National Guard and Mkhedrioni,-1,Reuters 911223 DEFIANT PEOPLE AND TROUBLED POLITICS.,-,-,-,-,1,Tbilisi town,Tbilisi,Tbilisi region,-,41.716667,44.783333,POINT (44.783333 41.716667),189810,Georgia,372,Europe,2,2,12/22/1991 00:00:00,12/23/1991 00:00:00,0,0,0,3,3,3,3,372.0,-,41
